csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_post_categories,csv_post_tags,csv_post_date,desc,link,picture
Nature’s Bounty 自然之宝 45+女性复合维生素*90粒 $20.99,,post,Nature’s Bounty 自然之宝 45+女性复合维生素*90粒 $20.99,csvtest,,now,亚马逊Nature’s Bounty 自然之宝 女性复合维生素，专为45岁以上的女性量身定制的膳食补充剂。采用高品质复合营养配方，将多种矿物质、维生素、草本精华、OMEGA等其它营养因子有机地组合在一起。不仅充分考虑到45岁以上女性的生理营养特点，而且其独特的缓释技术，可使营养元素均匀缓慢释放，不易流失，具有更高的利用率。90粒装，现售价$20.99，运费$2.95。[Shop Now],http://www.amazon.com/gp/product/B00CJW77K8/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00CJW77K8&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00CJW77K8&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Panasonic松下EW3006S手腕式血压计 $41.99免运费,,post,Panasonic松下EW3006S手腕式血压计 $41.99免运费,csvtest,,now,原价$59.99的Panasonic松下EW3006S手腕式血压计 现打折30%仅售$41.99免运费。购买时需点击“Clip This Coupon”才能享受此优惠价格。靠两节7号电池供电，一键式测血压操作。大LCE显示屏方便读取树脂，带有90个记忆数值。同时显示血压和脉搏数值。高血压值闪动显示。[Shop Now],http://www.amazon.com/gp/product/B000NY8IRA/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B000NY8IRA&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B000NY8IRA&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Under Armour PTH Victory Large Team 可肩背式手提行李袋 $46.00免运费,,post,Under Armour PTH Victory Large Team 可肩背式手提行李袋 $46.00免运费,csvtest,,now,原价$54.99的Under Armour PTH Victory Large Team 可肩背式手提行李袋 现打折16%仅售$46.00免运费。选择尺寸后方可显示折扣价格。有多个不同色款可供选择，价格有差异。采用聚酯纤维/尼龙材质，尺寸29.5″ x 14″ x 13″。同时适合手提和肩背，给您的旅行带来方便。[Shop Now],http://www.amazon.com/gp/product/B004JRXQ9M/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004JRXQ9M&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B004JRXQ9M&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
新低！《死亡空间3》Dead Space 3 $29.99免运费,,post,新低！《死亡空间3》Dead Space 3 $29.99免运费,csvtest,,now,比金盒特价还便宜！！原价$59.99的《死亡空间3》Dead Space 3现打折50%仅售$39.99$29.99免运费。提供PC、Xbox 360以及PS3版。《死亡空间3》为系列游戏《死亡空间》的第三款。该系列擅长以极佳的气氛营造与剧情带给玩家外太空中的深度恐惧。本作将会支援双人合作游戏，玩家将会看到约翰与系列男主角艾萨克于冰冻的星球上并肩作战，并且面对陌生的星球和新种敌人，带来更胜于前作的惊悚体验。[Shop Now],http://www.amazon.com/gp/product/B0050SWVIQ/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0050SWVIQ&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0050SWVIQ&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
亚马逊热销!Cabeau Travel 迷你便携式记忆海绵枕旅行枕 $39.99包邮,,post,亚马逊热销!Cabeau Travel 迷你便携式记忆海绵枕旅行枕 $39.99包邮,csvtest,,now,178个五星满分好评！Cabeau Travel 迷你便携式记忆海绵枕旅行枕，黑色款原价$59.99，特价$39.99(33%off)，包邮。另有其它四种色款可选，除蓝芙蓉款不免运费外，其它均售价$39.99，包邮。Cabeau枕荣获2010、2011年旅行产品大奖，在美国各大小机场，随处可见其身影，是深受喜爱的一款旅行用品。采用舒适记忆棉制作， 两侧加高，不但为颈部提供足够的支持，也易收纳，可缩小到原本1/4体积，大大节省空间，带有收纳袋，方便整理。此外商品另配有隔音耳塞，让旅行更加舒适安逸。[Shop Now],http://www.amazon.com/gp/product/B004ZIDXK2/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004ZIDXK2&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B004ZIDXK2&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Stokke婴儿车收纳旅行套件 $199.99包邮,,post,Stokke婴儿车收纳旅行套件 $199.99包邮,csvtest,,now,带宝宝出游，如何让婴儿车也安全随您一起登机，是个问题。亚马逊Stokke婴儿车收纳旅行套件，可以让婴儿车的托运受到最大的保护，几乎适用于所有品牌的婴儿车，到达目的地后只要简单卷起就能轻易储存。带上宝宝及宝宝的座驾一起出游，从此变得简单。四星半好评！亚马逊现售价$199.99，包邮。特别查了此款，各家竟出奇统一。[Shop Now],http://www.amazon.com/gp/product/B004QXZEKI/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B004QXZEKI&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B004QXZEKI&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
全球时尚品牌mel Dreamed by melissa 女鞋  $27.00（33%off）包邮,,post,全球时尚品牌mel Dreamed by melissa 女鞋  $27.00（33%off）包邮,csvtest,,now,"mel Dreamed by melissa全球时尚品牌,显示30多年来以其尖端的设计和技术，而且一直走在世界时尚的前端，这一款采用的是聚氯乙烯和橡胶鞋底，舒适大方！官网售价$40.00，黑和白色款现价只需$27.00（33%off），其他三色价格略贵，尺码齐全，夏天穿非常的凉快舒适哦！喜欢就赶紧下单吧！！！[Shop Now]",http://www.amazon.com/gp/product/B009LWTQZI/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B009LWTQZI&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B009LWTQZI&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Nature’s Bounty 自然之宝 无味特制大蒜（肠溶型）*3盒 $19.38,,post,Nature’s Bounty 自然之宝 无味特制大蒜（肠溶型）*3盒 $19.38,csvtest,,now,原价$24.93的亚马逊此款Nature’s Bounty 自然之宝 无味特制大蒜（肠溶型）， 60粒/盒，共3盒，现特价$19.38(22%off) + $5.99运费。每1粒含：大蒜精华 1250mg，每日1粒，随餐服用更佳。【产品特点】1.　降低胆固醇及血脂，增强血管弹性及降低血压，减低血小板凝集并能减少心脏病发作；2.　具有强力杀菌作用，尤其适用肺、胃部的感染及微生物感染；3.　能调节血糖，降低糖尿病发作，并减少30%的直肠癌及50%胃癌的发作；4.　与脂肪结合，清肠、去毒、清血液，消除体内杂质；5.　有效去除粉刺，降低感染；6.　适用于发烧、止痛、咳嗽、喉痛及鼻塞等感冒症状。[Shop Now],http://www.amazon.com/gp/product/B001GCU7YA/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B001GCU7YA&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B001GCU7YA&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
顶级咖啡！夏威夷100％深度烘焙科纳全豆咖啡14盎司 $28.07包邮,,post,顶级咖啡！夏威夷100％深度烘焙科纳全豆咖啡14盎司 $28.07包邮,csvtest,,now,"回国好礼！超赞评价！亚马逊直销夏威夷100％深度烘焙科纳全豆咖啡，采自夏威夷三世经营的Kona咖啡种植庄园。100%纯手工采摘，阳光自然干燥, 小批量精心烘焙。口感优雅、厚重、浓郁、滑顺，具独特果香。深度烘焙让口感更加丰富，稍高的烘焙温度也使咖啡油浮到咖啡豆表面，在烘焙过程中乳化变成深褐色，使咖啡香更浓郁香醇。14盎司装，现仅售$28.07包邮。购买时选择“Subscribe & Save”，可省5%, 货物寄出后建议取消Subscribe and Save服务, 不会产生任何其它费用。Kona(科纳)咖啡产于美国夏威夷最大的岛Kona地区的Hualalai和Mauna Loa两处山地的南坡和北坡，总种植面积为9平方公里。只有这里出产的咖啡，才能被称为Kona咖啡。这里有着世界上最适合咖啡生长的气候和土壤。Kona地区早上艳阳高照，下午阴云密布和下雨，夜晚几乎无风。土壤为富饶肥沃多孔的火山灰，这一切都给咖啡生长提供了得天独厚的条件，优越的自然条件加上人工的精心栽培，使Kona咖啡成为世界顶级的咖啡。因为Kona咖啡的稀缺性, 很多Kona咖啡其实是Kona咖啡和其它咖啡的混合物。美国法律规定纯的Kona咖啡必须标注100%Kona咖啡。[Shop Now]",http://www.amazon.com/gp/product/B0000V8HTU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0000V8HTU&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0000V8HTU&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Lenovo Thinkpad Twist S230u 12.5寸 可旋转触屏 Win8 超级本 $739.99免运费,,post,Lenovo Thinkpad Twist S230u 12.5寸 可旋转触屏 Win8 超级本 $739.99免运费,csvtest,,now,Amazon现有特价仅$739.99（原价$899.99）的Lenovo联想 Thinkpad  Twist S230u 12.5寸 可旋转触屏 Win8 超级本，并且免运费。ThinkPad S230u 为用户提供四种使用模式，分别是笔记本电脑模式、平板电脑模式、站立模式、帐篷模式，实现了平板电脑和笔记本的自由切换。外观部分，S230u机身覆盖了摩卡黑色的类肤质磨砂材料；采用12.5英寸的IPS高清显示屏(分辨率1366×768)并有镀铬金属边框，亮度达350尼特，支持多点触控，屏幕可以随意翻转。机身最薄处20毫米，重量1.58千克。配置方面，拥有英特尔最新一代 i5 3317U 处理器，4GB内存，500GB硬盘，7小时续航，2个USB 3.0接口等。[Shop Now],http://www.amazon.com/gp/product/B009TM70IU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B009TM70IU&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B009TM70IU&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
