csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_post_categories,csv_post_tags,csv_post_date,desc,link,picture
芝宝(Zippo)金色老鹰图案打火机 $21.90免运费,,post,芝宝(Zippo)金色老鹰图案打火机 $21.90免运费,csvtest,,now,原价$37.95的芝宝(Zippo)金色老鹰图案打火机现在42% OFF后仅售$21.90免运费！黄铜材质，老鹰图案，霸气中有显尊贵，是一款送人或自用的佳品！[Shop Now],http://www.amazon.com/gp/product/B000K6F6JO/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B000K6F6JO&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B000K6F6JO&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Jarrow 西兰花籽防癌抗氧化提取胶囊 60粒 特价$16.44 免运费,,post,Jarrow 西兰花籽防癌抗氧化提取胶囊 60粒 特价$16.44 免运费,csvtest,,now,四星半好评！原价$26.95的亚马逊此款Jarrow 西兰花籽防癌抗氧化提取胶囊，60粒装，现特价仅售$16.63$16.44，免运费。购买时需选择“Subscribe & Save”，以免运费，可省 5%，货物寄出后可根据您的需求来决定是否取消Subscribe and Save服务，不会产生任何其它费用。市场最低价！西兰花十字花科蔬菜，已被证实为有抗氧化和保护细胞功能的作用。 此款BroccoMax西兰花籽提纯含有标准浓度的萝卜硫素甙，代谢后成为一种高活性的抗氧化剂“萝卜硫素sulforaphane（异硫氰酸酯isothiocyanate）”。 学者广泛研究证明萝卜硫素sulforaphane是一种有效保护细胞内DNA(遗传物质) 和作为在第2阶段的解毒酶。每粒BroccoMax西兰花籽提纯含有30mg的萝卜硫素甙，比正常成长整株西兰花植物浓度至少高出20倍，协助人体细胞正常复制，防止异变。【品牌简介】JARROW FORMULAS天然保健品公司始建于1977年，在美国及全世界销售生产营养保健食品已有三十六年历史，深得经销商和消费者的喜爱及信赖。JARROW FORMULAS崇尚最优配方，强调生产高品质产品，由原料选购至成品完成，每个细节都执行严格。[Shop Now],http://www.amazon.com/gp/product/B0013OVTM0/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0013OVTM0&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0013OVTM0&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
法国药妆Caudalie 欧缇丽大葡萄活性精华爽肤水 1 fl oz $18.00 +免运费,,post,法国药妆Caudalie 欧缇丽大葡萄活性精华爽肤水 1 fl oz $18.00 +免运费,csvtest,,now,四星评级！法国药妆Caudalie 欧缇丽此款大葡萄活性精华爽肤水，倍受全球名流雅士亲睐，是麦当娜“化妆师的最爱”。在世界各地的时装秀、摄影棚、化妆间、豪华套间及空中别墅等明星云集之处，都可见其“身影”，更是获得高级化妆师一致认可、用于提亮暗沉肤色和定妆的必备法宝。此款葡萄活性精华爽肤水为爽肤水和精华液的混合液。内含99.4%的葡萄萃取物、迷迭香、薄荷精油等活性精华成分，可有效收缩毛孔，爽肤、柔肤，收紧面部轮 廓，舒缓肌肤，提亮肤色，达到抗氧化功效（85%，比维生素E高10000倍），加强肌肤抵抗力，并可固定妆容，保持全天滋润清新。早晚用化妆棉取用，涂 抹于面部及眼部，无需再清洗。亚马逊此款1 fl oz 装，现仅售$21.45$18.00 +免运费。【品牌简介】法国药妆店相当受欢迎的CAUDALIE欧缇丽（大葡萄），以抗氧化的“葡萄籽多酚”为护肤基底，重现肌肤纯净、光滑、柔嫩质感。来自法国的 CAUDALIE欧缇丽（大葡萄），一般被人称为“大葡萄”，因其名字带有“葡萄酒口齿留香度 数”的含义。品牌围绕葡萄种植园的果、叶、籽、藤，最突出的当属“葡萄籽多酚”，亦是近年的抗氧化先锋。[Shop Now],http://www.amazon.com/gp/product/B0006BDMIU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0006BDMIU&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B0006BDMIU&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
TRITTON Kunai 头戴式PS3专用立体声耳机 $39.99免运费,,post,TRITTON Kunai 头戴式PS3专用立体声耳机 $39.99免运费,csvtest,,now,原价$59.99的TRITTON Kunai 头戴式PS3专用立体声耳机 现打折33%仅售$39.99免运费。美国著名游戏机外设制造商美加狮（Mad Catz）在旗下的Tritton音频产品线上发布了一款新型耳机产品，这款耳机名为“Kunai”。此耳机是专为索尼PlayStation 3和PlayStation Vita游戏机设备所设计的。目前该商品的发售包含三种颜色可选，分别是白色、黑色和红色。作为专为索尼的游戏机设备准备的耳机产品，当在PS3游戏机上启用这款耳机时，耳机独立的专门的设计可对游戏和语音音量进行控制。耳罩材质专门考虑到游戏爱好者长时间游戏的需要，佩戴感觉舒适。耳机驱动单元40mm。扬声器中采用强大的钕磁铁，麦克风杆可做移动调节。耳机的上方部分也可作伸缩调节以适应不同人的头部大小，两边均可多延伸1.25′的距离。耳罩部分可进行旋转折叠，方便收纳保存，平常就算只是戴在脖子上也能提供舒适的佩戴感。供PS3使用的耳机线长度达到14英尺，供PS Vita的耳机线长度则为3英尺。频率响应在25Hz至20kHz之间。耳机连接PS3时，需使用RCA连接器，并且可通过USB口为功率放大器供电。[Shop Now],http://www.amazon.com/gp/product/B008KWT27W/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B008KWT27W&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B008KWT27W&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
告别粗糙！Be Natural去茧液 $8.30,,post,告别粗糙！Be Natural去茧液 $8.30,csvtest,,now,"去后脚跟的死皮的灵液！！亚马逊现有Be Natural去茧液$8.30（原价 $21.90, 69%OFF）。购物满25免运费！当脚跟的皮肤增厚，就很容易发生干裂的情形，另外如果脚部因为年纪或长时间压迫而增厚，就可能发生厚茧或鸡眼的情形，厚茧一般都是较大面积的角质增厚（最常发生在脚跟，脚底前半部或者脚趾头的侧面，尤其是大脚趾），鸡眼的周围通常都有一圈厚茧，不论是厚茧或是鸡眼都不好看，还会造成些许的不舒服。Be Natural去茧液可以去除老茧，只需3到5分钟，见效快，专业级产品，可放心使用！[Shop Now]",http://www.amazon.com/gp/product/B00011JZWW/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00011JZWW&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00011JZWW&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Acer宏基Aspire A5600U-UR11 23英寸触屏i3一体机电脑 $889.99免运费,,post,Acer宏基Aspire A5600U-UR11 23英寸触屏i3一体机电脑 $889.99免运费,csvtest,,now,"原价$1,149.99的Acer宏基Aspire A5600U-UR11 23英寸触屏i3一体机电脑 现打折23%仅售$889.99免运费。23英寸1080p全高清10点式多点触控LED 显示屏，第3代英特尔酷睿i3-3120M 2.5GHz的处理器，预装Windows 8，1TB SATA硬盘驱动器，8GB DDR3内存，英特尔HD高清显卡，多合1读卡器，支持802.11a/b/g/n无线网络，带有蓝牙®4.0+ HS模块，8X DVD-SuperMulti双层刻录光驱，内置200万像素高清网络摄像头和麦克风，虚拟环绕声扬声器，带有3 个USB2.0接口和2个USB3.0端口，附送无线键盘和鼠标。[Shop Now]",http://www.amazon.com/gp/product/B00ARDABCC/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00ARDABCC&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00ARDABCC&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
风靡日韩销量冠军！CureNatural Aqua Gel天然活性水素超温和去角质者哩250ml    $32.00,,post,风靡日韩销量冠军！CureNatural Aqua Gel天然活性水素超温和去角质者哩250ml    $32.00,csvtest,,now,"Cure是前所未有的创造性发明,所含成分的91%均为特选的超温和的天然水，为具有防酸化(=老化)的活性化水素。者哩不含香料·着色·防腐剂。一般的化学去角质产品，都是采用PH值为1.3的的强力酸来溶解蛋白质去肌肤角质，而Cure则只是非常温和地清除肌肤表面无用的老废角质。所含的去角质成分植物精华以及氨基素，只跟废旧角质的蛋白质发生反应，变成白色颗粒。在没有废旧角质的皮肤上不会发生反应的神奇者哩。使用Cure,帮助皮肤清理每天一般的洗脸不能清除的皮肤废旧角质，一周2次，维护肌肤本身正常的更新。使用一次、你马上可以感觉到皮肤变得光滑，肤色变亮的惊奇效果。1支者哩足够3~4个月的用量。通过温和的角质护理，让你对素肌更自信。使用方法:洁脸后，将皮肤水分吸干，取适量者哩涂开全脸并轻轻揉动，你会感觉到老废角质都变成白色的颗粒，30秒之后用清水洗净。之后进行正常的皮肤护理，你会觉得吸收特别的好。者哩也可以用于全身的角质护理。根据肌肤状况，一周使用不超过2次，养成角质护理的习惯。现亚马逊售价只需$32，包邮哦！[Shop Now]",http://www.amazon.com/gp/product/B001ABLKK2/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B001ABLKK2&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B001ABLKK2&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
夏日必备！Avene雅漾舒护活泉水Thermal Spring Water 5.29oz  $11.22+免运费,,post,夏日必备！Avene雅漾舒护活泉水Thermal Spring Water 5.29oz  $11.22+免运费,csvtest,,now,雅漾舒护活泉水有舒缓、镇静、抵抗自由基的功效。Amazon上5.29 oz现在只要$11.22免运费。大部分州免税而且无邮费。国内专柜售价￥115。雅漾活泉水源自法国的塞文山脉中，每一滴雅漾活泉水都在数亿年形成的地层中酝酿了至少40余年，充分吸收岩石和土壤里珍贵的矿物质和活性成分后喷涌而出。雅漾活泉具有的舒缓、减少刺激特性，确保了它对敏感肌肤的安全性和耐受性。同时，雅漾活泉的低矿物含量以及独特的钙镁离子比例给皮肤带来无比温和呵护。●天然泉水，直接从源泉取水，无菌灌装；●纯净无菌，含所需的微量元素和二氧化硅，低矿物含量，喷雾后可在肌肤表面形成舒缓、可透气的保护膜；●增强肌肤耐受性，降低敏感度；●适合敏感肌肤及健康肌肤的日常舒缓及补水护肤。[Shop Now],http://www.amazon.com/gp/product/B00150NTJ8/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00150NTJ8&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B00150NTJ8&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
Lancome兰蔻多元防晒水分日霜 SPF 30   $37.00+$4.49运费,,post,Lancome兰蔻多元防晒水分日霜 SPF 30   $37.00+$4.49运费,csvtest,,now,"这款Lancome兰蔻多元防晒水分日霜特别适合夏季使用，护肤防晒于一体，含有天然的湿润因子，SPF30，防止紫外线的侵袭。轻盈细致的乳液，极为温和，微带清香。能够对抗肌肤干燥：野生山芋萃取精华，能激发肌肤内部细胞再生活力。并提供必须脂肪酸，密集而持久的湿润肌肤。增加肌肤弹性：精纯的大豆萃取精华能刺激细胞产生胶原蛋白和弹力蛋白。褐海藻能培养氨基葡萄糖的生长，是健康肌肤不可或缺的成分。增加肤色的白皙和透明度：C。S。A能促进新陈代谢 ，使肤色均匀，透明。护肤功能：又有专利Mexory XL隔离UVA、UVB，并提供SPF30的防护。使用建议：每天早上使用，在全脸轻轻的点上，然后再用画圈的方式轻轻的按摩，使用后可立即上妆。官网售价$45,现亚马逊售价$37.00+$4.49运费,大多数州免税，卖家DealsRus，Inc超过1000个5星好评，质量值得信赖！[Shop Now]",http://www.amazon.com/gp/product/B002Z7FUXS/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B002Z7FUXS&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B002Z7FUXS&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
凑单佳品！白菜价卸妆乳！Cover girl前身Noxzema原生深层洁面卸妆乳 12 Ounce $3.97,,post,凑单佳品！白菜价卸妆乳！Cover girl前身Noxzema原生深层洁面卸妆乳 12 Ounce $3.97,csvtest,,now,Cover girl前身Noxzema原生深层洁面卸妆乳The Original Deep Cleansing Cream12 Ounce 只要$3.58 + $3.99 shipping$4.79$3.97，购满$25免运费。COVEGIRL封面女郎彩妆的创始人是George A. Bunting 博士。他于1917年创办Noxzema Chemical公司（后来改名为Noxell）。这个牌子所生产的蓝色小罐罐装的Noxzema润肤霜，很快成为美国市场上畅销的单一品牌护肤霜。这款卸妆乳网络现在很红。香味清新，感觉清凉舒爽。温和有效的卸妆及深层清洁，不需用后再2次清洁，同时给皮肤带来水润感觉。不会导致痘痘，对抗污染严重的都市生活。建议大家作为深层清洁定期使用，回复肌肤健康清洁状态，非常白菜而且好用。使用非常方便，干脸和湿脸都可用哦，在脸上打圈的按摩3-5秒，使用化妆棉效果最佳。觉得卸妆油太油腻的童鞋可以试试这个。[Shop Now],http://www.amazon.com/gp/product/B003LA90RU/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B003LA90RU&linkCode=as2&tag=buyusabrand-20,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&ASIN=B003LA90RU&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=buyusabrand-20
